#;Method;URL;Response code;Response Message;Content Type;Duration
1;GET;http://localhost:50450/noxml;302;Found;;2
2;GET;http://localhost:50450/noxml/;302;Found;;2
3;GET;http://localhost:50450/noxml/home;302;Found;;4
4;GET;http://localhost:50450/noxml/login;200;OK;text/html;6
5;GET;http://localhost:50450/noxml/assets/v/13647/main.css;200;OK;text/css;3
6;GET;http://fonts.googleapis.com/css?family=Open+Sans:400italic,700italic,400,700;200;OK;text/css;76
7;POST;http://localhost:50450/noxml/j_security_check;302;Found;;93
8;GET;http://localhost:50450/noxml/app/home;302;Found;;3
9;GET;http://localhost:50450/noxml/home;200;OK;text/html;8
10;GET;http://localhost:50450/noxml/userform;200;OK;text/html;21
11;GET;http://fonts.googleapis.com/css?family=Open+Sans:400italic,700italic,400,700;200;OK;text/css;42
12;POST;http://localhost:50450/noxml/userform;302;Found;;76
13;GET;http://localhost:50450/noxml/home;200;OK;text/html;6
