127.0.0.1 - - [14/Sep/2015:21:09:18 -0600] "GET /cargocpc/index.html HTTP/1.1" 200 124
127.0.0.1 - - [14/Sep/2015:21:09:21 -0600] "GET /noxml HTTP/1.1" 302 -
127.0.0.1 - - [14/Sep/2015:21:09:21 -0600] "GET /noxml/ HTTP/1.1" 302 -
127.0.0.1 - - [14/Sep/2015:21:09:21 -0600] "GET /noxml/home HTTP/1.1" 302 -
127.0.0.1 - - [14/Sep/2015:21:09:23 -0600] "GET /noxml/login HTTP/1.1" 200 4721
127.0.0.1 - - [14/Sep/2015:21:09:25 -0600] "GET /noxml/assets/v/13647/main.css HTTP/1.1" 200 127172
127.0.0.1 - - [14/Sep/2015:21:09:26 -0600] "POST /noxml/j_security_check HTTP/1.1" 302 -
127.0.0.1 - - [14/Sep/2015:21:09:26 -0600] "GET /noxml/app/home HTTP/1.1" 302 -
127.0.0.1 - - [14/Sep/2015:21:09:26 -0600] "GET /noxml/home HTTP/1.1" 200 3802
127.0.0.1 - - [14/Sep/2015:21:09:26 -0600] "GET /noxml HTTP/1.1" 302 -
127.0.0.1 - - [14/Sep/2015:21:09:26 -0600] "GET /noxml/ HTTP/1.1" 302 -
127.0.0.1 - - [14/Sep/2015:21:09:26 -0600] "GET /noxml/home HTTP/1.1" 302 -
127.0.0.1 - - [14/Sep/2015:21:09:26 -0600] "GET /noxml/login HTTP/1.1" 200 4721
127.0.0.1 - - [14/Sep/2015:21:09:26 -0600] "GET /noxml/assets/v/13647/main.css HTTP/1.1" 200 127172
127.0.0.1 - - [14/Sep/2015:21:09:26 -0600] "POST /noxml/j_security_check HTTP/1.1" 302 -
127.0.0.1 - - [14/Sep/2015:21:09:26 -0600] "GET /noxml/app/home HTTP/1.1" 302 -
127.0.0.1 - - [14/Sep/2015:21:09:26 -0600] "GET /noxml/home HTTP/1.1" 200 3802
127.0.0.1 - - [14/Sep/2015:21:09:27 -0600] "GET /noxml/logout HTTP/1.1" 302 -
127.0.0.1 - - [14/Sep/2015:21:09:27 -0600] "GET /noxml/home HTTP/1.1" 302 -
127.0.0.1 - - [14/Sep/2015:21:09:27 -0600] "GET /noxml/login HTTP/1.1" 200 4721
127.0.0.1 - - [14/Sep/2015:21:09:27 -0600] "GET /noxml HTTP/1.1" 302 -
127.0.0.1 - - [14/Sep/2015:21:09:27 -0600] "GET /noxml/ HTTP/1.1" 302 -
127.0.0.1 - - [14/Sep/2015:21:09:27 -0600] "GET /noxml/home HTTP/1.1" 302 -
127.0.0.1 - - [14/Sep/2015:21:09:27 -0600] "GET /noxml/login HTTP/1.1" 200 4721
127.0.0.1 - - [14/Sep/2015:21:09:27 -0600] "GET /noxml/passwordHint?username=admin HTTP/1.1" 302 -
127.0.0.1 - - [14/Sep/2015:21:09:27 -0600] "GET /noxml HTTP/1.1" 302 -
127.0.0.1 - - [14/Sep/2015:21:09:27 -0600] "GET /noxml/ HTTP/1.1" 302 -
127.0.0.1 - - [14/Sep/2015:21:09:27 -0600] "GET /noxml/home HTTP/1.1" 302 -
127.0.0.1 - - [14/Sep/2015:21:09:27 -0600] "GET /noxml/login HTTP/1.1" 200 4942
127.0.0.1 - - [14/Sep/2015:21:09:28 -0600] "GET /noxml/signup HTTP/1.1" 200 11340
127.0.0.1 - - [14/Sep/2015:21:09:28 -0600] "GET /noxml/assets/v/13647/main.css HTTP/1.1" 200 127172
127.0.0.1 - - [14/Sep/2015:21:09:28 -0600] "POST /noxml/signup HTTP/1.1" 302 -
127.0.0.1 - - [14/Sep/2015:21:09:28 -0600] "GET /noxml/home HTTP/1.1" 200 2789
127.0.0.1 - - [14/Sep/2015:21:09:28 -0600] "GET /noxml HTTP/1.1" 302 -
127.0.0.1 - - [14/Sep/2015:21:09:28 -0600] "GET /noxml/ HTTP/1.1" 302 -
127.0.0.1 - - [14/Sep/2015:21:09:28 -0600] "GET /noxml/home HTTP/1.1" 302 -
127.0.0.1 - - [14/Sep/2015:21:09:28 -0600] "GET /noxml/login HTTP/1.1" 200 4721
127.0.0.1 - - [14/Sep/2015:21:09:28 -0600] "GET /noxml/assets/v/13647/main.css HTTP/1.1" 200 127172
127.0.0.1 - - [14/Sep/2015:21:09:29 -0600] "POST /noxml/j_security_check HTTP/1.1" 302 -
127.0.0.1 - - [14/Sep/2015:21:09:29 -0600] "GET /noxml/app/home HTTP/1.1" 302 -
127.0.0.1 - - [14/Sep/2015:21:09:29 -0600] "GET /noxml/home HTTP/1.1" 200 3802
127.0.0.1 - - [14/Sep/2015:21:09:29 -0600] "GET /noxml/userform HTTP/1.1" 200 13815
127.0.0.1 - - [14/Sep/2015:21:09:29 -0600] "GET /noxml HTTP/1.1" 302 -
127.0.0.1 - - [14/Sep/2015:21:09:29 -0600] "GET /noxml/ HTTP/1.1" 302 -
127.0.0.1 - - [14/Sep/2015:21:09:29 -0600] "GET /noxml/home HTTP/1.1" 302 -
127.0.0.1 - - [14/Sep/2015:21:09:29 -0600] "GET /noxml/login HTTP/1.1" 200 4721
127.0.0.1 - - [14/Sep/2015:21:09:29 -0600] "GET /noxml/assets/v/13647/main.css HTTP/1.1" 200 127172
127.0.0.1 - - [14/Sep/2015:21:09:29 -0600] "POST /noxml/j_security_check HTTP/1.1" 302 -
127.0.0.1 - - [14/Sep/2015:21:09:29 -0600] "GET /noxml/app/home HTTP/1.1" 302 -
127.0.0.1 - - [14/Sep/2015:21:09:29 -0600] "GET /noxml/home HTTP/1.1" 200 3802
127.0.0.1 - - [14/Sep/2015:21:09:30 -0600] "GET /noxml/admin/users HTTP/1.1" 200 7430
127.0.0.1 - - [14/Sep/2015:21:09:30 -0600] "GET /noxml/admin/users?q=matt_raible HTTP/1.1" 200 6439
127.0.0.1 - - [14/Sep/2015:21:09:30 -0600] "GET /noxml HTTP/1.1" 302 -
127.0.0.1 - - [14/Sep/2015:21:09:30 -0600] "GET /noxml/ HTTP/1.1" 302 -
127.0.0.1 - - [14/Sep/2015:21:09:30 -0600] "GET /noxml/home HTTP/1.1" 302 -
127.0.0.1 - - [14/Sep/2015:21:09:30 -0600] "GET /noxml/login HTTP/1.1" 200 4721
127.0.0.1 - - [14/Sep/2015:21:09:30 -0600] "GET /noxml/assets/v/13647/main.css HTTP/1.1" 200 127172
127.0.0.1 - - [14/Sep/2015:21:09:31 -0600] "POST /noxml/j_security_check HTTP/1.1" 302 -
127.0.0.1 - - [14/Sep/2015:21:09:31 -0600] "GET /noxml/app/home HTTP/1.1" 302 -
127.0.0.1 - - [14/Sep/2015:21:09:31 -0600] "GET /noxml/home HTTP/1.1" 200 3802
127.0.0.1 - - [14/Sep/2015:21:09:31 -0600] "GET /noxml/userform HTTP/1.1" 200 13815
127.0.0.1 - - [14/Sep/2015:21:09:31 -0600] "POST /noxml/userform HTTP/1.1" 302 -
127.0.0.1 - - [14/Sep/2015:21:09:31 -0600] "GET /noxml/home HTTP/1.1" 200 3998
127.0.0.1 - - [14/Sep/2015:21:09:31 -0600] "GET /noxml HTTP/1.1" 302 -
127.0.0.1 - - [14/Sep/2015:21:09:31 -0600] "GET /noxml/ HTTP/1.1" 302 -
127.0.0.1 - - [14/Sep/2015:21:09:31 -0600] "GET /noxml/home HTTP/1.1" 302 -
127.0.0.1 - - [14/Sep/2015:21:09:31 -0600] "GET /noxml/login HTTP/1.1" 200 4721
127.0.0.1 - - [14/Sep/2015:21:09:31 -0600] "GET /noxml/assets/v/13647/main.css HTTP/1.1" 200 127172
127.0.0.1 - - [14/Sep/2015:21:09:31 -0600] "POST /noxml/j_security_check HTTP/1.1" 302 -
127.0.0.1 - - [14/Sep/2015:21:09:31 -0600] "GET /noxml/app/home HTTP/1.1" 302 -
127.0.0.1 - - [14/Sep/2015:21:09:31 -0600] "GET /noxml/home HTTP/1.1" 200 3802
127.0.0.1 - - [14/Sep/2015:21:09:31 -0600] "GET /noxml/userform?method=Add&from=list HTTP/1.1" 200 14347
127.0.0.1 - - [14/Sep/2015:21:09:31 -0600] "POST /noxml/userform HTTP/1.1" 302 -
127.0.0.1 - - [14/Sep/2015:21:09:32 -0600] "GET /noxml/admin/users HTTP/1.1" 200 7993
127.0.0.1 - - [14/Sep/2015:21:09:32 -0600] "GET /noxml/userform?from=list&id=10 HTTP/1.1" 200 14645
127.0.0.1 - - [14/Sep/2015:21:09:32 -0600] "POST /noxml/userform HTTP/1.1" 302 -
127.0.0.1 - - [14/Sep/2015:21:09:32 -0600] "GET /noxml/admin/users HTTP/1.1" 200 7640
127.0.0.1 - - [14/Sep/2015:21:09:32 -0600] "GET /noxml HTTP/1.1" 302 -
127.0.0.1 - - [14/Sep/2015:21:09:32 -0600] "GET /noxml/ HTTP/1.1" 302 -
127.0.0.1 - - [14/Sep/2015:21:09:32 -0600] "GET /noxml/home HTTP/1.1" 302 -
127.0.0.1 - - [14/Sep/2015:21:09:32 -0600] "GET /noxml/login HTTP/1.1" 200 4721
127.0.0.1 - - [14/Sep/2015:21:09:32 -0600] "GET /noxml/assets/v/13647/main.css HTTP/1.1" 200 127172
127.0.0.1 - - [14/Sep/2015:21:09:32 -0600] "POST /noxml/j_security_check HTTP/1.1" 302 -
127.0.0.1 - - [14/Sep/2015:21:09:32 -0600] "GET /noxml/app/home HTTP/1.1" 302 -
127.0.0.1 - - [14/Sep/2015:21:09:32 -0600] "GET /noxml/home HTTP/1.1" 200 3802
127.0.0.1 - - [14/Sep/2015:21:09:32 -0600] "GET /noxml/admin/activeUsers HTTP/1.1" 200 5114
127.0.0.1 - - [14/Sep/2015:21:09:32 -0600] "GET /noxml HTTP/1.1" 302 -
127.0.0.1 - - [14/Sep/2015:21:09:32 -0600] "GET /noxml/ HTTP/1.1" 302 -
127.0.0.1 - - [14/Sep/2015:21:09:32 -0600] "GET /noxml/home HTTP/1.1" 302 -
127.0.0.1 - - [14/Sep/2015:21:09:32 -0600] "GET /noxml/login HTTP/1.1" 200 4721
