#;Method;URL;Response code;Response Message;Content Type;Duration
1;GET;http://localhost:50450/noxml;302;Found;;2
2;GET;http://localhost:50450/noxml/;302;Found;;2
3;GET;http://localhost:50450/noxml/home;302;Found;;3
4;GET;http://localhost:50450/noxml/login;200;OK;text/html;6
5;GET;http://localhost:50450/noxml/assets/v/13647/main.css;200;OK;text/css;4
6;GET;http://fonts.googleapis.com/css?family=Open+Sans:400italic,700italic,400,700;200;OK;text/css;85
7;POST;http://localhost:50450/noxml/j_security_check;302;Found;;90
8;GET;http://localhost:50450/noxml/app/home;302;Found;;2
9;GET;http://localhost:50450/noxml/home;200;OK;text/html;6
10;GET;http://localhost:50450/noxml/userform?method=Add&from=list;200;OK;text/html;27
11;GET;http://fonts.googleapis.com/css?family=Open+Sans:400italic,700italic,400,700;200;OK;text/css;39
12;POST;http://localhost:50450/noxml/userform;302;Found;;130
13;GET;http://localhost:50450/noxml/admin/users;200;OK;text/html;25
14;GET;http://fonts.googleapis.com/css?family=Open+Sans:400italic,700italic,400,700;200;OK;text/css;57
15;GET;http://localhost:50450/noxml/userform?from=list&id=10;200;OK;text/html;23
16;GET;http://fonts.googleapis.com/css?family=Open+Sans:400italic,700italic,400,700;200;OK;text/css;50
17;POST;http://localhost:50450/noxml/userform;302;Found;;31
18;GET;http://localhost:50450/noxml/admin/users;200;OK;text/html;18
